System,Type,RA(deg),Dec(deg),Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Teff,err,err,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup,errdn,loggA,errup,errdn,rho_A,errup,errdn,e,errup,errdown,a(AU),errup,errdown,M_b,errup,errdn,R_b,errup,errdn,g_b,errup,errdn,rho_b,errup,errdn,Teq,err,err,Lambda,err,err,Psi,err,err
K2-038b,TEP,240.03358,-23.18928,11.39,9.47,0.12,0.2,2456896.8786,0.0054,4.01593,0.00050,5757,60,60,+0.28,0.04,0.04,1.03,0.04,0.02,1.06,0.09,0.06,4.38,0.11,0.11,-1,-1,-1,0.197,0.061,0.060,0.04994,0.00048,0.00049,0.0230,0.0035,0.0031,0.137,0.012,0.012,-1,-1,-1,8.3,3.1,2.1,1266,44,50,-999,-999,-999,-999,-999,-999
K2-038c,TEP,240.03358,-23.18928,11.39,9.47,0.11,0.4,2456900.4752,0.0033,10.56103,0.00090,5757,60,60,+0.28,0.04,0.04,1.03,0.04,0.02,1.06,0.09,0.06,4.38,0.11,0.11,-1,-1,-1,0.161,0.096,0.068,0.09514,0.00091,0.00094,0.0261,0.0041,0.0041,0.204,0.023,0.023,-1,-1,-1,2.9,1.4,0.8,916,32,37,-999,-999,-999,-999,-999,-999
K2-039,TEP,338.36838,-9.02278,10.83,8.52,0.38,0.04,2456980.8236,0.0039,4.60543,0.00046,4912,60,60,+0.43,0.04,0.04,1.192,0.085,0.070,2.93,0.21,0.21,3.58,0.05,0.05,-1,-1,-1,0.152,0.084,0.066,0.0574,0.0012,0.0012,0.125,0.014,0.014,0.509,0.056,0.056,-1,-1,-1,0.88,0.35,0.24,1670,54,54,-999,-999,-999,-999,-999,-999
K2-043b,TEP,169.11713,-3.97544,15.60,11.57,0.095,0.6,2456809.8843,0.0007,3.471149,0.000078,3841,99,50,-1,-1,-1,0.571,0.111,0.055,0.542,0.049,0.022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.402,0.039,0.017,-1,-1,-1,-1,-1,-1,939,38,19,-999,-999,-999,-999,-999,-999
K2-043c,TEP,169.11713,-3.97544,15.60,11.57,0.079,0.2,2456809.88450,0.00330,3.471140,0.000210,3841,99,50,-1,-1,-1,0.571,0.111,0.055,0.542,0.049,0.022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.215,0.023,0.010,-1,-1,-1,-1,-1,-1,1094,44,22,-999,-999,-999,-999,-999,-999
K2-044,TEP,174.01163,-2.52089,12.19,10.69,0.19,0.03,2456811.7191,0.0049,5.65639,0.00075,5830,70,70,+0.13,0.07,0.07,1.13,0.07,0.07,1.52,0.10,0.10,4.04,0.08,0.08,0.32,0.10,0.10,0.12,0.22,0.09,-1,-1,-1,0.0,0.038,0.0,0.245,0.021,0.020,-1,-1,-1,0.0,2.5,0.0,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-055,TEP,333.75192,-17.25069,13.55,10.47,0.10,0.40,2456983.4229,0.0004,2.849275,0.000027,4300,107,100,+0.376,0.095,0.095,0.688,0.069,0.069,0.715,0.043,0.040,4.566,0.036,0.036,-1,-1,-1,0.124,0.054,0.055,0.0347,0.001,0.001,0.138,0.017,0.017,0.395,0.026,0.026,-1,-1,-1,2.1,0.5,0.5,900,-1,-1,-999,-999,-999,-999,-999,-999
K2-056,TEP,53.65096,20.59922,11.04,9.37,0.236,0.06,2457151.9021,0.0045,41.6855,0.0031,5766,99,99,-0.15,0.05,0.05,0.961,0.032,0.029,0.928,0.055,0.044,4.5,0.08,0.08,1.20,0.14,0.18,0.0,0.36,0.0,0.241,0.019,0.017,0.051,0.019,0.019,0.199,0.013,0.010,32,12,12,5.9,2.6,2.3,546,19,18,-999,-999,-999,-999,-999,-999
K2-060,TEP,338.60621,-13.73169,12.79,10.99,0.128,0.47,2456928.0593,0.0007,3.00265,0.00004,5500,100,100,+0.01,0.11,0.11,0.97,0.07,0.07,1.12,0.05,0.05,4.33,0.04,0.04,0.70,0.04,0.04,0.0,0.18,0.0,0.045,0.003,0.003,0.426,0.037,0.037,0.683,0.037,0.037,22.4,3.3,2..9,1.3,0.2,0.2,1400,50,50,-999,-999,-999,-999,-999,-999
K2-066,TEP,331.52671,-10.71156,11.71,10.60,0.196,0.02,2455817.0092,0.0051,5.06963,0.00081,5887,46,46,-0.047,0.02,0.02,1.01,0.04,0.04,1.67,0.12,0.12,4.03,0.05,0.05,0.26,0.10,0.16,0.0,-1,-1,0.05983,0.00072,0.00072,0.067,0.011,0.011,0.222,0.030,0.021,-1,-1,-1,5.9,2.0,2.0,1372,51,51,-999,-999,-999,-999,-999,-999
K2-077,TEP,55.22842,12.57261,12.16,9.80,0.109,0.1,2457316.80766,0.00098,8.2000844,0.00080,4970,45,45,+0.29,0.06,0.06,0.80,0.12,0.12,0.76,0.03,0.03,4.47,0.13,0.13,1.8,0.3,0.3,0.14,0.22,0.09,-1,-1,-1,0.0,1.9,0.0,0.205,0.014,0.014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-079,TEP,55.25592,13.51936,12.07,9.90,0.1894,0.08,2457070.24341,0.00057,10.994748,0.000025,5926,86,86,+0.053,0.048,0.036,1.06,0.05,0.05,1.269,0.051,0.051,4.26,0.01,0.01,0.52,0.02,0.02,0.082,0.088,0.056,0.099,0.001,0.001,0.037,0.011,0.011,0.365,0.015,0.011,7.0,2.2,2.2,0.70,0.25,0.25,1021,21,20,-999,-999,-999,-999,-999,-999
K2-093b,TEP,126.61604,10.08039,8.93,7.72,0.211,0.04,2457152.283,0.002,15.57209,0.00002,6320,60,30,-0.10,0.07,0.07,1.16,0.04,0.04,1.273,0.015,0.015,4.294,0.006,0.006,0.563,0.006,0.006,0.07,0.06,0.06,0.1283,0.0015,0.0015,0.0217,0.0028,0.0028,0.2315,0.0032,0.0032,-1,-1,-1,1.64,0.21,0.21,959,9,5,-999,-999,-999,-999,-999,-999
K2-093c,TEP,126.61604,10.08039,8.93,7.72,0.134,0.03,2457163.162,0.003,31.7061,0.0002,6320,60,30,-0.10,0.07,0.07,1.16,0.04,0.04,1.273,0.015,0.015,4.294,0.006,0.006,0.563,0.006,0.006,0.04,0.04,0.03,0.2061,0.0024,0.0024,0.0138,0.0035,0.0035,0.2433,0.0054,0.0054,-1,-1,-1,0.90,0.23,0.23,757,7,4,-999,-999,-999,-999,-999,-999
K2-093d,TEP,126.61604,10.08039,8.93,7.72,0.78775,0.5,2459355.1014,0.0019,278.360,0.0015,6320,60,30,-0.10,0.07,0.07,1.16,0.04,0.04,1.273,0.015,0.015,4.294,0.006,0.006,0.563,0.006,0.006,0.004,0.009,0.003,0.22,0.03,0.06,0.038,0.009,0.009,0.821,0.009,0.009,-1,-1,-1,0.07,0.02,0.02,294,3,1,57,26,18,-999,-999,-999
K2-095,TEP,129.36275,18.97669,17.07,12.47,0.0908,0.7,2457171.1477,0.0019,10.13389,0.00073,3471,124,124,+0.11,0.17,0.17,0.361,0.069,0.069,0.402,0.050,0.050,-1,-1,-1,5.5,1.3,1.3,-1,-1,-1,0.0653,0.0039,0.0045,-1,-1,-1,0.310,0.070,0.047,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-097,TEP,127.76283,10.84758,12.61,10.04,0.27,0.07,2457722.1447,0.0027,8.407115,0.000023,4790,90,90,+0.42,0.08,0.08,1.16,0.12,0.12,4.20,0.14,0.14,3.26,0.01,0.01,0.0157,0.0003,0.0003,0.22,0.08,0.08,-1,-1,-1,0.48,0.07,0.07,1.31,0.11,0.11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-098,TEP,126.48829,11.51114,12.17,10.87,0.210,0.11,2457662.95321,0.00076,10.1367349,0.0000093,6120,80,80,-0.2,0.1,0.1,1.074,0.042,0.042,1.311,0.083,0.048,4.23,0.03,0.05,0.47,0.05,0.09,0.0,-1,-1,0.0943,0.0061,0.0052,0.101,0.025,0.025,0.38,0.03,0.02,-1,-1,-1,1.62,0.51,0.45,1102,26,20,-999,-999,-999,-999,-999,-999
K2-099,TEP,208.77375,-5.44247,11.15,9.72,0.462,0.2,2458182.7133,0.0005,18.24783,0.00003,6069,92,92,+0.20,0.07,0.07,1.44,0.03,0.03,2.55,0.02,0.02,3.738,0.004,0.004,0.055,0.002,0.002,0.22,0.01,0.01,0.153,0.001,0.001,0.87,0.02,0.02,1.06,0.01,0.01,19.5,0.9,0.9,-1,-1,-1,1184,19,19,-999,-999,-999,-999,-999,-999
K2-100,TEP,129.60125,20.10606,10.52,9.18,0.067,0.08,2457140.71941,0.00027,1.6739035,0.0000004,5945,110,110,+0.22,0.09,0.09,1.15,0.05,0.05,1.24,0.05,0.05,4.33,0.10,0.10,0.60,0.08,0.08,0.0,0.28,-1,0.0301,0.0014,0.0014,0.069,0.020,0.020,0.346,0.014,0.014,15.4,4.4,4.4,1.54,0.50,0.46,1841,41,41,-999,-999,-999,-999,-999,-999
K2-101,TEP,130.34408,18.93389,12.96,10.54,0.138,0.07,2457152.68125,0.00227,14.67730,0.00082,4819,45,45,+0.14,0.04,0.04,0.80,0.06,0.06,0.73,0.03,0.03,-1,-1,-1,2.07,0.29,0.25,0.0,-1,-1,-1,-1,-1,-1,-1,-1,0.18,0.01,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-102,TEP,130.05604,19.77881,13.20,10.64,0.112,0.03,2457139.65488,0.00539,9.9157,0.0012,4695,50,50,+0.14,0.04,0.04,0.77,0.06,0.06,0.71,0.03,0.03,-1,-1,-1,2.14,0.31,0.27,0.0,-1,-1,-1,-1,-1,-1,-1,-1,0.12,0.01,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-103,TEP,130.41037,17.64000,15.26,11.43,0.145,0.13,2457123.23787,0.00432,21.1697,0.0017,3880,67,67,+0.14,0.04,0.04,0.61,0.02,0.02,0.59,0.03,0.03,-1,-1,-1,2.98,0.43,0.38,0.0,-1,-1,-1,-1,-1,-1,-1,-1,0.20,0.02,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-104,TEP,129.63675,19.77383,16.26,12.01,0.060,0.16,2457140.38097,0.00255,1.97419,0.00011,3660,67,67,+0.14,0.04,0.04,0.51,0.02,0.02,0.48,0.02,0.02,-1,-1,-1,4.64,0.68,0.60,0.0,-1,-1,-1,-1,-1,-1,-1,-1,0.17,0.02,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-105,TEP,125.42029,13.49753,11.75,10.09,0.1443,0.15,2457147.9911,0.0012,8.266902,0.000070,5430,70,70,+0.26,0.05,0.05,1.01,0.07,0.07,0.95,0.11,0.10,4.477,0.085,0.085,1.19,0.44,0.32,-1,-1,-1,-1,-1,-1,0.0,0.28,0.0,0.369,0.039,0.034,-1,-1,-1,-1,-1,-1,-1,-1,-1,-81,50,47,-999,-999,-999
K2-106b,TEP,13.07979,10.79469,12.10,10.34,0.0746,0.03,2457394.00907,0.00068,0.5713127,0.0000055,5578,46,46,-0.005,0.059,0.059,0.913,0.024,0.024,0.990,0.012,0.012,4.408,0.017,0.017,1.03,0.10,0.10,0.0,-1,-1,0.01314,0.00032,0.00034,0.0245,0.0022,0.0022,0.1495,0.0033,0.0033,-1,-1,-1,-1,-1,-1,2275,36,32,-999,-999,-999,-999,-999,-999
K2-106c,TEP,13.07979,10.79469,12.10,10.34,0.146,0.07,2457405.7320,0.0016,13.33989,0.00069,5578,46,46,-0.005,0.059,0.059,0.913,0.024,0.024,0.990,0.012,0.012,4.408,0.017,0.017,1.03,0.10,0.10,0.17,0.11,0.11,0.1073,0.0026,0.0027,0.0230,0.0078,0.0075,0.253,0.009,0.007,-1,-1,-1,-1,-1,-1,796,13,11,-999,-999,-999,-999,-999,-999
K2-107,TEP,284.98537,-22.29342,12.92,11.21,0.133,0.66,2457304.5244,0.0002,3.31392,0.00002,6030,120,120,+0.10,0.10,0.10,1.30,0.14,0.14,1.78,0.16,0.16,4.05,0.07,0.07,0.23,0.04,0.04,0.0,0.21,0.0,0.048,0.005,0.005,0.84,0.08,0.08,1.44,0.15,0.15,10.0,1.7,1.5,0.26,0.08,0.08,1780,90,90,-999,-999,-999,-999,-999,-999
K2-108,TEP,123.38188,16.41961,12.47,10.56,0.16,0.09,2457145.0965,0.0019,4.73401,0.00024,5474,60,60,+0.33,0.04,0.04,1.121,0.065,0.053,1.75,0.14,0.14,3.99,0.05,0.05,-1,-1,-1,0.180,0.042,0.042,0.0573,0.0010,0.0010,0.187,0.014,0.014,0.471,0.048,0.048,-1,-1,-1,1.67,0.58,0.41,1446,48,48,-999,-999,-999,-999,-999,-999
K2-110,TEP,207.34954,-12.28450,11.91,9.61,0.134,0.13,2457275.32992,0.00061,13.86375,0.00026,5010,50,50,-0.34,0.03,0.03,0.738,0.018,0.018,0.713,0.020,0.020,4.60,0.03,0.03,-1,-1,-1,0.079,0.070,0.070,0.1021,0.0008,0.0008,0.0525,0.0101,0.0101,0.231,0.009,0.009,-1,-1,-1,3.9,0.9,0.9,640,20,20,-999,-999,-999,-999,-999,-999
K2-111,TEP,59.88975,21.29869,11.14,9.38,0.133,0.02,2457067.9704,0.0042,5.3518,0.0004,5775,60,60,-0.46,0.05,0.05,0.84,0.02,0.02,1.25,0.02,0.02,4.17,0.01,0.01,0.43,0.02,0.02,0.13,0.13,0.09,0.0570,0.0012,0.0012,0.0166,0.0024,0.0024,0.162,0.009,0.09,-1,-1,-1,3.6,0.8,0.8,1309,71,63,-999,-999,-999,-999,-999,-999
K2-113,TEP,19.44929,6.86889,13.68,11.95,0.14,0.8,2457392.88605,0.00019,5.817608,0.000030,5627,88,88,+0.180,0.062,0.062,1.007,0.040,0.039,1.047,0.11,0.08,4.40,0.15,0.15,0.87,0.26,0.23,0.0,0.13,0.0,0.0575,0.0074,0.0057,1.29,0.13,0.14,0.93,0.10,0.07,36.3,7.3,7.5,1.48,0.46,0.40,1178,22,23,-999,-999,-999,-999,-999,-999
K2-114,TEP,127.88296,11.92228,14.57,12.30,0.1627,1.6,2457687.08869,0.00016,11.3909310,0.0000032,5014,60,60,+0.41,0.04,0.04,0.832,0.021,0.018,0.828,0.026,0.022,4.481,0.044,0.051,1.30,0.23,0.21,0.0,-1,-1,0.09309,0.00066,0.00059,1.85,0.23,0.22,0.942,0.032,0.020,-1,-1,-1,2.25,0.35,0.34,719,15,11,-999,-999,-999,-999,-999,-999
K2-115,TEP,126.55346,12.28194,13.34,11.72,0.1679,1.7,2457522.07014,0.00017,20.2729914,0.0000050,5544,60,60,-0.23,0.04,0.04,0.831,0.023,0.019,0.881,0.049,0.050,4.461,0.057,0.041,1.01,0.31,0.20,0.137,0.072,0.074,0.1367,0.0012,0.0010,0.84,0.18,0.20,1.115,0.057,0.061,-1,-1,-1,0.62,0.23,0.18,682,22,24,-999,-999,-999,-999,-999,-999
K2-131,TEP,182.75158,-9.76522,12.12,10.05,0.058,0.05,2457582.9360,0.0011,0.3693038,0.0000091,5200,100,100,-0.02,0.08,0.08,0.793,0.024,0.040,0.744,0.010,0.009,4.62,0.10,0.10,1.92,0.10,0.13,0.0,0.26,0.0,-1,-1,-1,0.0198,0.0044,0.0044,0.1473,0.0058,0.0050,-1,-1,-1,5.8,2.0,2.0,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-132,TEP,182.16637,-8.74717,11.90,9.54,0.35,0.09,2457590.1491,0.009,9.1751,0.0025,4840,90,90,-0.01,0.08,0.08,1.08,0.08,0.08,3.85,0.13,0.13,3.297,0.007,0.007,0.0187,0.0006,0.0006,0.0,0.0007,0.0,-1,-1,-1,0.49,0.06,0.06,1.30,0.07,0.07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-133b,TEP,70.14846,25.01003,14.00,10.28,0.051,0.071,2457821.3150,0.0016,3.07133,0.00011,3655,80,80,-1,-1,-1,0.455,0.022,0.022,0.461,0.011,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03194,0.00025,0.00026,-1,-1,-1,0.120,0.007,0.007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-133c,TEP,70.14846,25.01003,14.00,10.28,0.068,0.10,2457823.7686,0.0011,4.86784,0.00012,3655,80,80,-1,-1,-1,0.455,0.022,0.022,0.461,0.011,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04341,0.00034,0.00035,-1,-1,-1,0.143,0.008,0.008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-133d,TEP,70.14846,25.01003,14.00,10.28,0.097,0.19,2457826.1709,0.0012,11.02454,0.00036,3655,80,80,-1,-1,-1,0.455,0.022,0.022,0.461,0.011,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07487,0.00059,0.00060,-1,-1,-1,0.179,0.010,0.010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-133e,TEP,70.14846,25.01003,14.00,10.28,0.060,0.10,2457837.8657,0.0023,26.5841,0.0018,3655,80,80,-1,-1,-1,0.455,0.022,0.022,0.461,0.011,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1346,0.0011,0.0011,-1,-1,-1,0.154,0.012,0.012,-1,-1,-1,-1,-1,-1,296,10,10,-999,-999,-999,-999,-999,-999
K2-136b,TEP,67.41246,22.88272,11.20,8.37,0.111,0.02,2458679.083,0.075,7.97525,0.00073,4500,125,75,+0.05,0.10,0.10,0.742,0.039,0.038,0.677,0.027,0.027,4.66,0.02,0.02,2.40,0.31,0.31,0.0,0.32,0.0,0.0707,0.0012,0.0012,0.0,0.014,0.0,0.0905,0.0045,0.0044,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-136c,TEP,67.41246,22.88272,11.20,8.37,0.1437,0.19,2458678.079,0.009,17.30723,0.00020,4500,125,75,+0.05,0.10,0.10,0.742,0.039,0.038,0.677,0.027,0.027,4.66,0.02,0.02,2.40,0.31,0.31,0.0,0.16,0.0,0.1185,0.0020,0.0021,0.0569,0.0060,0.0057,0.268,0.012,0.012,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-136d,TEP,67.41246,22.88272,11.20,8.37,0.127,0.03,2458675.936,0.070,25.5750,0.0022,4500,125,75,+0.05,0.10,0.10,0.742,0.039,0.038,0.677,0.027,0.027,4.66,0.02,0.02,2.40,0.31,0.31,0.0,0.16,0.0,0.1538,0.0026,0.0027,0.0,0.009,0.0,0.1396,0.0069,0.0068,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-137,TEP,186.87071,-6.19522,15.50,10.88,0.0262,0.035,2457583.0242,0.0004,0.179715,0.000001,3492,70,70,+0.08,0.12,0.12,0.463,0.052,0.052,0.442,0.044,0.044,4.815,0.043,0.043,-1,-1,-1,0.0,-1,-1,0.0058,0.0006,0.0006,0.0,0.7,0.0,0.079,0.008,0.008,-1,-1,-1,-1,-1,-1,1471,47,47,-999,-999,-999,-999,-999,-999
K2-138b,TEP,348.94904,-10.84969,12.21,10.31,0.0721,0.03,2457773.31683,0.00091,2.35309,0.00022,5350,80,80,+0.14,0.10,0.10,0.93,0.02,0.02,0.86,0.03,0.02,4.54,0.02,0.04,1.46,0.10,0.19,0.0,0.189,0.0,0.03385,0.00023,0.00029,0.0098,0.0035,0.0035,0.135,0.010,0.007,-1,-1,-1,3.7,1.5,1.3,1308,24,20,-999,-999,-999,-999,-999,-999
K2-138c,TEP,348.94904,-10.84969,12.21,10.31,0.0970,0.05,2457740.3217,0.0003,3.559823,0.000050,5350,80,80,+0.14,0.10,0.10,0.93,0.02,0.02,0.86,0.03,0.02,4.54,0.02,0.04,1.46,0.10,0.19,0.0,0.192,0.0,0.04461,0.00030,0.00038,0.0198,0.0035,0.0038,0.205,0.011,0.008,-1,-1,-1,2.10,0.51,0.46,1140,21,17,-999,-999,-999,-999,-999,-999
K2-138d,TEP,348.94904,-10.84969,12.21,10.31,0.124,0.08,2458791.7962,0.0054,5.405362,0.000038,5350,80,80,+0.14,0.10,0.10,0.93,0.02,0.02,0.86,0.03,0.02,4.54,0.02,0.04,1.46,0.10,0.19,0.0,0.144,0.0,0.05893,0.00040,0.00050,0.0249,0.0044,0.0041,0.213,0.009,0.007,-1,-1,-1,2.37,0.52,0.45,992,18,15,-999,-999,-999,-999,-999,-999
K2-138e,TEP,348.94904,-10.84969,12.21,10.31,0.1276,0.12,2457740.6459,0.0007,8.261334,0.000011,5350,80,80,+0.14,0.10,0.10,0.93,0.02,0.02,0.86,0.03,0.02,4.54,0.02,0.04,1.46,0.10,0.19,0.0,0.183,0.0,0.07820,0.00053,0.00066,0.0409,0.0063,0.0063,0.302,0.012,0.010,-1,-1,-1,1.35,0.27,0.24,861,16,13,-999,-999,-999,-999,-999,-999
K2-138f,TEP,348.94904,-10.84969,12.21,10.31,0.133,0.08,2457738.7053,0.0051,12.756618,0.000061,5350,80,80,+0.14,0.10,0.10,0.93,0.02,0.02,0.86,0.03,0.02,4.54,0.02,0.04,1.46,0.10,0.19,0.0,0.210,0.0,0.10447,0.00070,0.00088,0.0050,0.0066,0.0038,0.259,0.015,0.010,-1,-1,-1,0.26,0.37,0.20,745,14,11,-999,-999,-999,-999,-999,-999
K2-138g,TEP,348.94904,-10.84969,12.21,10.31,0.198,0.12,2457773.8552,0.0016,41.965443,0.000061,5350,80,80,+0.14,0.10,0.10,0.93,0.02,0.02,0.86,0.03,0.02,4.54,0.02,0.04,1.46,0.10,0.19,0.0,0.226,0.0,0.23109,0.00154,0.00196,0.0135,0.0167,0.0094,0.269,0.027,0.022,-1,-1,-1,0.65,0.81,0.45,501,9,7,-999,-999,-999,-999,-999,-999
K2-139,TEP,289.06654,-17.91069,11.65,9.66,0.204,1.1,2459057.16689,0.00083,28.382796,0.000042,5245,73,33,+0.22,0.08,0.08,0.883,0.021,0.029,0.863,0.019,0.014,4.53,0.05,0.05,1.37,0.09,0.09,0.12,0.12,0.08,0.179,0.029,0.027,0.382,0.078,0.078,0.803,0.024,0.023,-1,-1,-1,0.69,0.16,0.15,536,11,8,-17,7,7,-999,-999,-999
K2-140,TEP,188.13733,-9.60764,12.62,11.00,0.190,1.3,2457621.13089,0.00010,6.569228,0.000010,5654,55,55,+0.12,0.045,0.045,1.005,0.021,0.020,0.987,0.011,0.011,4.452,0.010,0.009,1.048,0.041,0.041,0.120,0.056,0.046,0.0591,0.0034,0.0034,1.019,0.070,0.070,1.095,0.018,0.018,21.1,1.7,1.5,0.726,0.062,0.062,1114,34,34,0.5,9.7,9.7,-999,-999,-999
K2-141b,TEP,350.91654,-1.18928,11.49,8.40,0.039,0.05,2457744.07151,0.00010,0.28032945,0.00000005,4599,79,79,-0.06,0.08,0.10,0.706,0.021,0.015,0.6862,0.0066,0.0080,4.62,0.02,0.03,2.74,0.11,0.13,0.0,-1,-1,0.00716,0.00055,0.00065,0.0162,0.0011,0.0011,0.1332,0.0037,0.0031,-1,-1,-1,6.4,1.0,0.9,2039,87,48,-999,-999,-999,-999,-999,-999
K2-141c,TEP,350.91654,-1.18928,11.49,8.40,0.092,0.05,2458371.07415,0.00064,7.7489943,0.000015,4599,79,79,-0.06,0.08,0.10,0.708,0.028,0.028,0.681,0.018,0.018,4.62,0.02,0.03,2.244,0.161,0.161,0.0,-1,-1,-1,-1,-1,0.0,0.0233,0.0,0.62,0.41,0.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-146b,TEP,130.02675,19.09289,16.25,11.37,0.034,0.4,2458204.5902,0.0005,2.64460,0.00006,3385,70,70,-0.02,0.12,0.12,0.331,0.009,0.009,0.330,0.010,0.010,4.906,0.041,0.041,9.3,0.8,0.8,0.129,0.019,0.019,-1,-1,-1,0.0182,0.0002,0.0002,0.183,0.005,0.005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-146c,TEP,130.02675,19.09289,16.25,11.37,0.030,0.15,2458204.1316,0.0007,4.00498,0.00011,3385,70,70,-0.02,0.12,0.12,0.331,0.009,0.009,0.330,0.010,0.010,4.906,0.041,0.041,9.3,0.8,0.8,0.075,0.016,0.016,-1,-1,-1,0.0236,0.0003,0.0003,0.195,0.006,0.006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-155b,TEP,65.46871,21.35361,12.81,9.50,0.1004,0.068,2457825.068,0.002,6.34365,0.00028,3919,70,70,-0.42,0.12,0.12,0.540,0.056,0.056,0.526,0.053,0.053,4.732,0.046,0.046,3.84,0.79,0.79,0.0,-1,-1,0.0546,0.0019,0.0019,-1,-1,-1,0.138,0.018,0.015,-1,-1,-1,-1,-1,-1,708,38,31,-999,-999,-999,-999,-999,-999
K2-155c,TEP,65.46871,21.35361,12.81,9.50,0.1470,0.10,2457828.426,0.002,13.85402,0.00088,3919,70,70,-0.42,0.12,0.12,0.540,0.056,0.056,0.526,0.053,0.053,4.732,0.046,0.046,3.84,0.79,0.79,0.0,-1,-1,0.0920,0.0032,0.0032,-1,-1,-1,0.174,0.024,0.020,-1,-1,-1,-1,-1,-1,583,52,38,-999,-999,-999,-999,-999,-999
K2-155d,TEP,65.46871,21.35361,12.81,9.50,0.1860,0.074,2457823.500,0.003,40.6835,0.0031,3919,70,70,-0.42,0.12,0.12,0.540,0.056,0.056,0.526,0.053,0.053,4.732,0.046,0.046,3.84,0.79,0.79,0.0,-1,-1,0.1886,0.0066,0.0066,-1,-1,-1,0.146,0.016,0.016,-1,-1,-1,-1,-1,-1,381,47,25,-999,-999,-999,-999,-999,-999
K2-167b,TEP,336.57579,-18.01117,8.24,6.89,0.1507,0.02,2456979.9329,0.0016,9.978543,0.000022,6083,90,90,-0.34,0.09,0.09,1.11,0.11,0.09,1.554,0.051,0.060,4.10,0.05,0.05,0.294,0.046,0.042,0.30,0.16,0.19,0.0939,0.0029,0.0027,0.022,0.005,0.005,0.208,0.015,0.013,-1,-1,-1,-1,-1,-1,1203,25,27,-999,-999,-999,-999,-999,-999
K2-168b,TEP,333.10987,-16.34175,12.29,10.55,0.17,0.05,2456975.0377,0.0023,15.8523,0.0019,5503,101,51,-1,-1,-1,0.877,0.060,0.029,0.830,0.087,0.043,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.166,0.021,0.010,-1,-1,-1,-1,-1,-1,766,16,8,-999,-999,-999,-999,-999,-999
K2-168c,TEP,333.10987,-16.34175,12.29,10.55,0.16,0.02,2456973.7648,0.0100,8.050722,0.000057,5503,101,51,-1,-1,-1,0.877,0.060,0.029,0.830,0.087,0.043,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.117,0.013,0.006,-1,-1,-1,-1,-1,-1,961,21,10,-999,-999,-999,-999,-999,-999
K2-180,TEP,126.46396,10.24697,12.60,10.68,0.07,0.1,2457489.15656,0.00077,8.865663,0.000011,5110,107,107,-0.65,0.10,0.10,0.71,0.03,0.03,0.69,0.02,0.02,4.3,0.2,0.2,2.15,0.28,0.28,0.0,-1,-1,0.075,0.001,0.001,0.036,0.006,0.006,0.200,0.011,0.011,-1,-1,-1,4.2,1.4,1.4,729,49,49,-999,-999,-999,-999,-999,-999
