System,Type,RA(deg),Dec(deg),Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Teff,err,err,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup,errdn,loggA,errup,errdn,rho_A,errup,errdn,e,errup,errdown,a(AU),errup,errdown,M_b,errup,errdn,R_b,errup,errdn,g_b,errup,errdn,rho_b,errup,errdn,Teq,err,err,Lambda,err,err,Psi,err,err
CoRoT-29,TEP,278.90208,6.47972,15.56,13.05,0.0913,0.6,2456870.53809,0.00075,2.8505615,0.0000072,5260,100,100,+0.20,0.10,0.10,0.97,0.14,0.14,0.90,0.12,0.12,4.52,0.19,0.19,1.29,0.03,0.03,0.082,0.081,0.081,0.0390,0.0020,0.0020,0.85,0.20,0.20,0.90,0.16,0.16,26,14,9,1.09,0.56,0.56,-1,-1,-1,-999,-999,-999,-999,-999,-999
CoRoT-30,TEP,277.60108,6.83594,15.27,13.56,0.16,1.4,2455665.5146,0.0012,9.06005,0.00024,5650,100,100,+0.02,0.10,0.10,0.98,0.03,0.05,0.91,0.09,0.03,4.40,0.10,0.10,-1,-1,-1,0.007,0.031,0.031,0.0844,0.0012,0.0012,2.90,0.22,0.22,1.009,0.076,0.076,-1,-1,-1,2.60,0.49,0.49,-1,-1,-1,-999,-999,-999,-999,-999,-999
CoRoT-31,TEP,94.82075,-4.42228,15.06,13.43,0.15,0.5,2455843.9445,0.0044,4.62941,0.00075,5700,120,120,+0.00,0.10,0.10,1.25,0.22,0.21,2.15,0.56,0.66,3.85,0.25,0.25,-1,-1,-1,0.02,0.16,0.16,0.0586,0.0034,0.0034,0.84,0.34,0.34,1.46,0.30,0.30,-1,-1,-1,0.25,0.14,0.14,-1,-1,-1,-999,-999,-999,-999,-999,-999
CoRoT-32,TEP,100.19517,9.25744,14.47,12.19,0.104,0.29,2455901.811,0.002,6.71837,0.00001,5970,100,100,+0.0,0.2,0.2,1.08,0.08,0.07,0.79,0.08,0.09,4.67,0.11,0.08,-1,-1,-1,0.0,-1,-1,0.071,0.001,0.001,0.15,0.10,0.10,0.57,0.06,0.05,13,38,6,0.8,1.0,0.6,938,65,52,-999,-999,-999,-999,-999,-999
CoRoT-33,BD,279.64129,5.62472,14.89,12.71,0.058,0.28,2456676.3992,0.0037,5.819143,0.000018,5225,80,80,+0.44,0.10,0.10,0.86,0.04,0.04,0.94,0.14,0.08,4.4,0.1,0.1,-1,-1,-1,0.0700,0.0016,0.0016,0.0579,-1,-1,59.0,1.8,1.7,1.10,0.53,0.53,-1,-1,-1,41,22,22,-1,-1,-1,-999,-999,-999,-999,-999,-999
CoRoT-34,BD,102.87087,-3.81764,14.19,12.68,0.084,0.3,2454787.7411,0.0016,2.11853,0.00006,7820,160,160,-0.2,0.2,0.2,1.66,0.08,0.15,1.85,0.29,0.25,4.10,0.10,0.10,-1,-1,-1,0.0,-1,-1,0.03874,0.00081,0.00081,71.4,8.9,8.6,1.09,0.17,0.16,-1,-1,-1,45,8,8,2425,137,128,-999,-999,-999,-999,-999,-999
CoRoT-35,TEP,289.31429,-2.77467,15.64,12.94,0.175,1.1,2456074.2415,0.0018,3.22748,0.00008,6390,130,130,-0.5,0.1,0.1,1.01,0.07,0.06,1.65,0.10,0.11,4.01,0.05,0.05,-1,-1,-1,0.0,-1,-1,0.04290,0.00092,0.00092,1.10,0.37,0.37,1.68,0.11,0.11,-1,-1,-1,0.22,0.08,0.08,1747,62,62,-999,-999,-999,-999,-999,-999
CoRoT-36,TEP,277.75100,7.18336,13.13,11.59,0.208,1.0,2455662.52236,0.00034,5.616531,0.000023,6730,140,140,-0.1,0.1,0.1,1.32,0.09,0.09,1.52,0.20,0.10,4.16,0.06,0.06,-1,-1,-1,0.0,-1,-1,0.066,0.007,0.007,0.0,0.68,0.0,1.41,0.14,0.14,-1,-1,-1,-1,-1,-1,1567,35,35,275.8,11.3,11.3,-999,-999,-999
DS_Tuc,TEP,354.91450,-69.19575,8.23,6.68,0.13,0.4,2458332.30926,0.00037,8.138268,0.000011,5598,28,59,-0.08,0.06,0.06,0.959,0.031,0.031,0.872,0.027,0.027,4.60,0.15,0.15,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0453,0.0,0.50,0.02,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.93,0.88,0.87,-999,-999,-999
EPIC_210768568,TEP,58.00346,19.39119,12.24,10.27,0.12,0.005,2457064.8359,0.0019,3.2141,0.0002,5414,138,138,-0.03,0.24,0.24,1.02,0.13,0.13,1.375,0.068,0.068,4.169,0.074,0.074,-1,-1,-1,-1,-1,-1,0.0511,0.0021,0.0028,-1,-1,-1,0.0883,0.0044,0.0043,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
