System Type RA(deg) Dec(deg) Vmag Kmag length depth T0(HJDorBJD) T0err Period(day) Perioderr Teff err err_1 [Fe/H] erru errd M_A errup errdn R_A errup_1 errdn_1 loggA errup_2 errdn_2 rho_A errup_3 errdn_3 e errup_4 errdown a(AU) errup_5 errdown_1 M_b errup_6 errdn_4 R_b errup_7 errdn_5 g_b errup_8 errdn_6 rho_b errup_9 errdn_7 Teq err_2 err_3 Lambda err_4 err_5 Psi err_6 err_7
K2-141b TEP 350.91654 -1.18928 11.49 8.4 0.039 0.05 2457744.07151 0.0001 0.28032945 5e-08 4599 79 79 -0.06 0.08 0.1 0.706 0.021 0.015 0.6862 0.0066 0.008 4.62 0.02 0.03 2.74 0.11 0.13 0.0 -1.0 -1.0 0.00716 0.00055 0.00065 0.0162 0.0011 0.0011 0.1332 0.0037 0.0031 -1.0 -1.0 -1 6.4 1.0 0.9 2039.0 87.0 48.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-180 TEP 126.46396 10.24697 12.6 10.68 0.07 0.1 2457489.15656 0.00077 8.865663 1.1e-05 5110 107 107 -0.65 0.1 0.1 0.71 0.03 0.03 0.69 0.02 0.02 4.3 0.2 0.2 2.15 0.28 0.28 0.0 -1.0 -1.0 0.075 0.001 0.001 0.036 0.006 0.006 0.2 0.011 0.011 -1.0 -1.0 -1 4.2 1.4 1.4 729.0 49.0 49.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-199c TEP 208.90171 -6.13614 12.29 10.28 0.1022 0.18 2457222.93034 0.00035 7.3744897 3.7e-06 4491 100 100 -0.01 0.09 0.09 0.711 0.022 0.024 0.682 0.014 0.014 -1.0 -1.0 -1 -1.0 -1.0 -1.0 0.03 0.06 0.03 0.0662 0.0007 0.0007 0.039 0.007 0.007 0.254 0.009 0.008 -1.0 -1.0 -1 2.2 0.5 0.5 694.0 17.0 17.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-222 TEP 16.46229 11.75342 9.54 8.11 0.1836 0.04 2457399.0595 0.0016 15.38857 0.00088 5942 119 119 -0.315 0.06 0.06 0.94 0.05 0.05 1.072 0.043 0.043 4.35 0.02 0.02 0.76 0.05 0.04 0.16 0.09 0.1 -1.0 -1.0 -1 0.025 0.006 0.006 0.21 0.007 0.006 14.2 3.3 3.3 2.6 0.6 0.6 878.0 17.0 16.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-229b TEP 186.87325 -6.72189 10.98 9.05 0.04 0.02 2457583.4691 0.0012 0.584249 1.4e-05 5185 32 32 -0.06 0.02 0.02 0.804 0.038 0.048 0.781 0.012 0.012 4.56 0.03 0.05 1.69 0.13 0.14 0.0 -1.0 -1.0 0.01288 0.00013 0.00013 0.0078 0.0013 0.0014 0.1068 0.004 0.0043 -1.0 -1.0 -1 6.0 1.7 1.7 1960.0 40.0 40.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-263 TEP 129.68242 15.68067 11.61 9.75 0.1453 0.06 2458111.1274 0.0012 50.818947 9.4e-05 5372 73 73 -0.08 0.05 0.05 0.88 0.03 0.03 0.85 0.02 0.02 4.45 0.1 0.10 1.43 0.11 0.11 0.0 0.14 0.0 0.2573 0.0029 0.0029 0.0466 0.0098 0.0098 0.215 0.011 0.011 25.1 6.5 5.6 4.3 1.2 1.1 470.0 10.0 10.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-265 TEP 342.0315 -14.49467 11.1 9.26 0.0944 0.03 2456981.6431 0.0016 2.369172 8.9e-05 5477 27 27 0.078 0.02 0.02 0.915 0.017 0.017 0.977 0.053 0.053 4.419 0.053 0.053 0.98 0.19 0.19 0.084 0.079 0.079 0.03376 0.00021 0.00021 0.0206 0.0026 0.0026 0.153 0.01 0.01 -1.0 -1.0 -1 5.4 1.4 1.4 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-285b TEP 349.38429 1.30028 12.03 9.97 0.107 0.097 2457743.37545 0.00051 3.471745 4.5e-05 4975 95 95 0.0 0.05 0.05 0.83 0.023 0.023 0.787 0.016 0.016 4.4 0.1 0.1 -1.0 -1.0 -1.0 0.0 -1.0 -1.0 0.03817 0.00095 0.00092 0.0305 0.0038 0.0043 0.231 0.005 0.005 14.2 1.9 2.0 2.31 0.34 0.34 1089.0 22.0 22.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-285c TEP 349.38429 1.30028 12.03 9.97 0.128 0.21 2457744.53906 0.00038 7.138048 6.8e-05 4975 95 95 0.0 0.05 0.05 0.83 0.023 0.023 0.787 0.016 0.016 4.4 0.1 0.1 -1.0 -1.0 -1.0 0.0 -1.0 -1.0 0.0824 0.0018 0.0018 0.0493 0.0072 0.0067 0.315 0.007 0.007 12.3 1.9 1.7 1.47 0.24 0.21 741.0 15.0 15.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-291 TEP 76.44579 21.54861 10.01 8.35 0.0716 0.03 2457830.0616 0.001 2.225177 6.7e-05 5520 60 60 0.08 0.04 0.04 0.934 0.038 0.038 0.899 0.035 0.033 4.5 0.05 0.05 -1.0 -1.0 -1.0 0.0 -1.0 -1.0 0.03261 0.00044 0.00044 0.0204 0.0036 0.0036 0.1418 0.0085 0.0064 -1.0 -1.0 -1 6.7 1.9 1.5 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-314b TEP 228.24821 -16.72464 11.43 9.71 0.18 0.01 2457994.396 0.005 3.5951 0.0003 5430 85 85 0.2 0.05 0.05 1.05 0.05 0.05 1.71 0.04 0.04 3.99 0.03 0.03 0.211 0.018 0.016 0.06 0.08 0.04 0.047 0.005 0.007 0.0275 0.0034 0.0034 0.174 0.008 0.007 -1.0 -1.0 -1 4.82 0.9 0.78 1616.0 149.0 79.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-314c TEP 228.24821 -16.72464 11.43 9.71 0.265 0.04 2457998.841 0.003 15.624 0.001 5430 85 85 0.2 0.05 0.05 1.05 0.05 0.05 1.71 0.04 0.04 3.99 0.03 0.03 0.211 0.018 0.016 0.07 0.08 0.05 0.13 0.01 0.02 0.0461 0.0058 0.0059 0.327 0.015 0.012 -1.0 -1.0 -1 1.22 0.23 0.22 990.0 92.0 49.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-314d TEP 228.24821 -16.72464 11.43 9.71 0.398 0.05 2458008.652 0.003 35.747 0.005 5430 85 85 0.2 0.05 0.05 1.05 0.05 0.05 1.71 0.04 0.04 3.99 0.03 0.03 0.211 0.018 0.016 0.15 0.21 0.11 0.22 0.02 0.04 0.032 0.0077 0.0076 0.352 0.012 0.011 -1.0 -1.0 -1 0.69 0.19 0.17 752.0 69.0 37.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-010b TEP 285.67942 50.24133 11.1 9.5 0.07546 0.15 2455034.08687 0.00018 0.8374907 2e-07 5708 28 28 -0.15 0.04 0.04 0.91 0.021 0.021 1.065 0.009 0.009 4.344 0.004 0.004 0.757 0.003 0.003 0.0 -1.0 -1.0 0.01685 0.00013 0.00013 0.0117 0.0013 0.0013 0.1311 0.0027 0.0018 15.1 2.2 2.3 4.87 0.54 0.54 2169.0 96.0 44.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-010c TEP 285.67942 50.24133 11.1 9.5 0.2874 0.38 2454971.67727 0.00068 45.294262 3.8e-05 5708 28 28 -0.15 0.04 0.04 0.91 0.021 0.021 1.065 0.009 0.009 4.344 0.004 0.004 0.757 0.003 0.003 0.0 -1.0 -1.0 0.241 0.0019 0.0019 0.0232 0.0042 0.0037 0.2097 0.008 0.0036 -1.0 -1.0 -1 2.37 0.47 0.41 584.0 50.0 17.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-011d TEP 297.11508 41.90914 13.86 12.18 0.2328 0.089 2455694.0069 0.0018 22.6845 0.00021 5663 55 67 0.002 0.04 0.04 0.961 0.027 0.024 1.053 0.013 0.015 4.3755 0.0086 0.0101 0.821 0.021 0.028 0.004 0.007 0.002 0.159 0.005 0.005 0.023 0.0025 0.0047 0.2775 0.0018 0.0018 -1.0 -1.0 -1 1.0 0.11 0.21 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-018c TEP 298.07942 44.74631 13.75 11.76 0.1453 0.2 2455167.0833 0.0023 7.64159 3e-05 5383 44 44 0.2 0.04 0.04 0.972 0.042 0.042 1.108 0.051 0.051 4.31 0.12 0.12 0.72 0.09 0.09 0.00029 8e-05 8e-05 0.0752 0.0011 0.0011 0.054 0.006 0.006 0.49 0.023 0.023 -1.0 -1.0 -1 0.45 0.05 0.05 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-019b TEP 290.42083 37.85178 12.06 10.32 0.14022 0.07 2454959.70597 0.00036 9.2869944 8.8e-06 5544 20 20 -0.08 0.02 0.02 0.936 0.04 0.04 0.85 0.018 0.018 4.54 0.02 0.02 -1.0 -1.0 -1.0 0.12 0.02 0.02 -1.0 -1.0 -1 0.0264 0.005 0.005 0.1971 0.0043 0.0043 -1.0 -1.0 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-020b TEP 287.698 42.33872 12.65 10.87 0.106 0.04 2454967.50201 0.00023 3.6961153 1e-06 5495 50 50 0.07 0.08 0.08 0.948 0.051 0.051 0.964 0.018 0.018 4.446 0.01 0.01 1.07 0.27 0.27 0.03 0.09 0.03 0.0463 0.0009 0.0015 0.0305 0.0044 0.0045 0.1667 0.0059 0.003 -1.0 -1.0 -1 6.2 1.1 1.0 1105.0 37.0 37.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-020c TEP 287.698 42.33872 12.65 10.87 0.157 0.105 2454971.60796 0.00022 10.8540909 2.8e-06 5495 50 50 0.07 0.08 0.08 0.948 0.051 0.051 0.964 0.018 0.018 4.446 0.01 0.01 1.07 0.27 0.27 0.16 0.01 0.09 0.0949 0.0027 0.0023 0.0401 0.0068 0.007 0.2718 0.0057 0.005 -1.0 -1.0 -1 1.9 0.4 0.4 772.0 26.0 26.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-023b TEP 294.21892 49.47922 13.61 11.99 0.199 0.01 2454971.31284 0.00661 7.107163 7.5e-05 5828 100 100 -0.05 0.1 0.1 1.078 0.077 0.077 1.548 0.048 0.048 4.091 0.057 0.057 0.291 0.016 0.016 0.017 0.019 0.019 -1.0 -1.0 -1 0.0081 0.0014 0.0013 0.1461 0.0042 0.0042 -1.0 -1.0 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-023c TEP 294.21892 49.47922 13.61 11.99 0.2856 0.04 2454966.28603 0.0021 10.742371 3.7e-05 5828 100 100 -0.05 0.1 0.1 1.078 0.077 0.077 1.548 0.048 0.048 4.091 0.057 0.057 0.291 0.016 0.016 0.021 0.009 0.014 -1.0 -1.0 -1 0.0246 0.0042 0.0038 0.2681 0.0066 0.0066 -1.0 -1.0 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-024b TEP 290.41325 38.34375 15.1 13.37 0.1829 0.05 2454973.5633 0.00425 8.145207 5.9e-05 5897 219 219 -0.37 0.1 0.1 1.06 0.069 0.069 1.099 0.039 0.039 4.2 0.15 0.150 0.787 0.098 0.098 0.023 0.014 0.016 -1.0 -1.0 -1 0.035 0.0071 0.0061 0.2095 0.0082 0.0081 -1.0 -1.0 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-024c TEP 290.41325 38.34375 15.1 13.37 0.2543 0.05 2454970.58878 0.0054 12.33336 0.000119 5897 219 219 -0.37 0.1 0.1 1.06 0.069 0.069 1.099 0.039 0.039 4.2 0.15 0.150 0.787 0.098 0.098 0.014 0.011 0.011 -1.0 -1.0 -1 0.0314 0.0063 0.0052 0.2243 0.0087 0.0087 -1.0 -1.0 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-025c TEP 286.63838 39.48789 10.98 9.49 0.11925 0.12 2454960.64642 0.00026 12.7203737 2.9e-07 6270 79 79 -0.04 0.1 0.1 1.165 0.027 0.029 1.316 0.016 0.015 4.278 0.03 0.03 0.53 0.07 0.07 0.061 0.0049 0.0041 0.11 -1.0 -1 0.0479 0.0041 0.0051 0.4654 0.0062 0.0058 -1.0 -1.0 -1 0.443 0.04 0.046 -1.0 -1.0 -1.0 -0.9 7.7 6.4 24.1 9.29 9.3
Kepler-026b TEP 284.94096 46.56653 16.0 12.63 0.1159 0.28 2455003.39854 0.00061 12.282972 1.3e-05 4124 68 68 0.015 0.004 0.004 0.593 0.016 0.016 0.595 0.026 0.026 -1.0 -1.0 -1 2.75 0.35 0.35 0.021 0.021 0.013 0.0855 0.0039 0.0039 0.0153 0.0014 0.0013 0.2873 0.0134 0.0134 -1.0 -1.0 -1 0.95 0.16 0.14 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-026c TEP 284.94096 46.56653 16.0 12.63 0.0923 0.19 2454982.88636 0.00109 17.251204 3.4e-05 4124 68 68 0.015 0.004 0.004 0.593 0.016 0.016 0.595 0.026 0.026 -1.0 -1.0 -1 2.75 0.35 0.35 0.013 0.013 0.01 0.1073 0.0049 0.0049 0.0235 0.0015 0.0015 0.2775 0.0125 0.0125 -1.0 -1.0 -1 1.21 0.2 0.17 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-030b TEP 285.28362 38.94728 15.62 13.58 0.2 0.2 2455246.65 0.04 29.2187 0.0009 5498 54 54 0.18 0.27 0.27 0.99 0.08 0.08 0.95 0.12 0.12 4.77 0.23 0.23 1.42 0.07 0.07 0.077 0.0003 0.0003 0.18479 4e-05 0.00004 0.0289 0.0003 0.0003 0.335 0.016 0.016 -1.0 -1.0 -1 0.72 0.11 0.11 -1.0 -1.0 -1.0 4.0 10.0 10.0 -999.0 -999.0 -999.0
Kepler-033e TEP 289.07754 46.00522 14.12 12.59 0.3852 0.046 2454968.869 0.005 31.7852 0.0002 5947 60 60 0.14 0.04 0.04 1.26 0.03 0.06 1.66 0.03 0.03 -1.0 -1.0 -1 0.28 0.01 0.01 0.0 0.02 0.0 0.212 0.001 0.004 0.0208 0.0035 0.0031 0.316 0.008 0.008 -1.0 -1.0 -1 0.6 0.1 0.1 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-033f TEP 289.07754 46.00522 14.12 12.59 0.4502 0.057 2455005.604 0.005 41.0274 0.0002 5947 60 60 0.14 0.04 0.04 1.26 0.03 0.06 1.66 0.03 0.03 -1.0 -1.0 -1 0.28 0.01 0.01 0.0 0.02 0.0 0.252 0.002 0.004 0.0258 0.005 0.0038 0.353 0.008 0.008 -1.0 -1.0 -1 0.5 0.1 0.1 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-036b TEP 291.25017 49.23181 12.22 10.79 0.281 0.01 2454960.9753 0.0057 13.83989 0.00071 5911 66 66 -0.2 0.06 0.06 1.071 0.043 0.043 1.626 0.019 0.019 4.045 0.009 0.009 0.2462 0.004 0.004 -1.0 -1.0 -1.0 0.1153 0.0015 0.0015 0.0136 0.0006 0.0006 0.1329 0.0031 0.0031 18.3 1.7 1.3 5.62 0.56 0.44 978.0 11.0 11.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-036c TEP 291.25017 49.23181 12.22 10.79 0.3096 0.05 2454955.9132 0.0011 16.23855 0.00046 5911 66 66 -0.2 0.06 0.06 1.071 0.043 0.043 1.626 0.019 0.019 4.045 0.009 0.009 0.2462 0.004 0.004 -1.0 -1.0 -1.0 0.1283 0.0016 0.0016 0.0247 0.0011 0.0011 0.3283 0.005 0.005 5.62 0.42 0.28 0.67 0.05 0.04 928.0 10.0 10.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-048c TEP 299.13921 40.94903 13.28 11.22 0.1459 0.11 2454958.3416 0.00067 9.6739431 7.5e-07 5194 73 73 0.17 0.07 0.07 0.88 0.06 0.06 0.89 0.05 0.05 4.487 0.05 0.05 1.4 0.09 0.09 0.0 -1.0 -1.0 -1.0 -1.0 -1 0.046 0.007 0.007 0.242 0.012 0.012 -1.0 -1.0 -1 3.02 0.69 0.69 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-049b TEP 292.29458 40.59178 15.81 12.38 0.1053 0.18 2455003.28587 0.00064 7.203871 8e-06 4097 75 75 -0.12 0.1 0.1 0.607 0.014 0.014 0.618 0.02 0.02 4.727 0.15 0.150 2.53 0.21 0.21 0.03 0.03 0.03 0.0593 0.0023 0.0023 0.0307 0.003 0.003 0.2301 0.0078 0.0077 -1.0 -1.0 -1 -1.0 -1.0 -1.0 495.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-049c TEP 292.29458 40.59178 15.81 12.38 0.0892 0.14 2455002.85183 0.00108 10.912732 2.1e-05 4097 75 75 -0.12 0.1 0.1 0.607 0.014 0.014 0.618 0.02 0.02 4.727 0.15 0.150 2.53 0.21 0.21 0.008 0.023 0.005 0.0782 0.003 0.0030 0.0264 0.0029 0.0028 0.218 0.0074 0.0073 -1.0 -1.0 -1 -1.0 -1.0 -1.0 431.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-057b TTEP 293.64129 44.65703 15.01 12.89 0.044 0.09 2454971.55826 0.00077 5.729329 7e-06 5188 91 91 -0.04 0.5 0.5 0.859 0.049 0.049 0.826 0.019 0.019 4.6 0.3 0.30 1.51 0.15 0.15 0.0162 0.0024 0.0021 -1.0 -1.0 -1 0.079 0.016 0.015 0.2797 0.008 0.0079 -1.0 -1.0 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-057c TTEP 293.64129 44.65703 15.01 12.89 0.072 0.06 2454966.99407 0.00162 11.609074 3.1e-05 5188 91 91 -0.04 0.5 0.5 0.859 0.049 0.049 0.826 0.019 0.019 4.6 0.3 0.30 1.51 0.15 0.15 0.0725 0.007 0.0062 -1.0 -1.0 -1 0.0216 0.0048 0.0045 0.1959 0.006 0.0058 -1.0 -1.0 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-060b TEP 288.96125 42.265 14.1 12.52 0.1952 0.01 2454968.9975 0.0079 7.13285 0.0001 6024 113 113 0.02 0.03 0.03 1.131 0.082 0.082 1.434 0.039 0.039 -1.0 -1.0 -1 0.377 0.045 0.045 0.02 0.02 0.02 -1.0 -1.0 -1 0.0165 0.0014 0.0014 0.1685 0.0055 0.0054 -1.0 -1.0 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-060c TEP 288.96125 42.265 14.1 12.52 0.1778 0.02 2454973.0808 0.0043 8.91888 7e-05 6024 113 113 0.02 0.03 0.03 1.131 0.082 0.082 1.434 0.039 0.039 -1.0 -1.0 -1 0.377 0.045 0.045 0.039 0.002 0.0027 -1.0 -1.0 -1 0.0121 0.0012 0.0013 0.1828 0.0059 0.0059 -1.0 -1.0 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-060d TEP 288.96125 42.265 14.1 12.52 0.1189 0.01 2454966.3378 0.0102 11.89889 0.0002 6024 113 113 0.02 0.03 0.03 1.131 0.082 0.082 1.434 0.039 0.039 -1.0 -1.0 -1 0.377 0.045 0.045 0.002 0.0051 0.0015 -1.0 -1.0 -1 0.0138 0.0014 0.0014 0.224 0.0083 0.0082 -1.0 -1.0 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-065d TEP 288.68871 41.15119 11.1 9.81 0.171 0.011 2455702.80285 0.0004 8.13167 0.00023 6211 66 66 0.17 0.06 0.06 1.248 0.018 0.021 1.437 0.032 0.027 4.232 0.006 0.006 0.44 0.008 0.008 0.014 0.016 0.01 0.084 0.006 0.002 0.013 0.003 0.003 0.136 0.004 0.004 -1.0 -1.0 -1 4.3 0.9 0.9 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-078 TEP 293.74167 44.44833 11.75 9.59 0.0339 0.022 2454953.95995 0.00015 0.35500744 6e-08 5121 44 44 -0.08 0.06 0.06 0.779 0.032 0.046 0.7475 0.0077 0.0078 4.61 0.06 0.06 1.86 0.11 0.13 0.0 -1.0 -1.0 0.0089 -1.0 -1 0.0059 0.0008 0.0008 0.1096 0.0016 0.0017 11.4 3.5 3.1 3.97 0.71 0.74 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-080d TEP 296.11258 39.97878 15.18 12.25 0.0829 0.05 2454967.02149 0.00169 3.072186 1e-05 4540 100 100 0.04 0.08 0.08 0.73 0.03 0.03 0.678 0.023 0.023 4.639 0.012 0.012 1.65 0.11 0.11 0.0041 0.0037 0.0028 0.0372 0.0005 0.0005 0.0129 0.0013 0.0013 0.1168 0.0032 0.0029 -1.0 -1.0 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-080e TEP 296.11258 39.97878 15.18 12.25 0.0829 0.05 2454967.58736 0.00168 4.645387 1.5e-05 4540 100 100 0.04 0.08 0.08 0.73 0.03 0.03 0.678 0.023 0.023 4.639 0.012 0.012 1.65 0.11 0.11 0.0035 0.0032 0.0024 0.0491 0.0007 0.0007 0.0069 0.0013 0.0013 0.1187 0.0035 0.0034 -1.0 -1.0 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-082b TEP 292.87337 42.96614 15.34 13.51 0.1666 0.18 2455027.12502 0.00138 26.443794 6.5e-05 5409 62 62 0.19 0.04 0.04 0.91 0.03 0.03 0.898 0.042 0.018 4.4 0.07 0.08 1.25 0.08 0.16 0.0033 0.0019 0.0017 0.1683 0.002 0.0020 0.044 0.004 0.004 0.363 0.021 0.009 -1.0 -1.0 -1 0.74 0.08 0.12 569.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-082c TEP 292.87337 42.96614 15.34 13.51 0.2668 0.36 2455007.11378 0.00099 51.531855 9.9e-05 5409 62 62 0.19 0.04 0.04 0.91 0.03 0.03 0.898 0.042 0.018 4.4 0.07 0.08 1.25 0.08 0.16 0.007 0.0016 0.0018 0.2626 0.0032 0.0032 0.066 0.003 0.003 0.476 0.029 0.012 -1.0 -1.0 -1 0.372 0.053 0.063 456.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-093b TEP 291.41829 38.67236 9.93 8.37 0.1204 0.026 2454944.29227 0.00013 4.72673978 9.7e-07 5669 75 75 -0.18 0.1 0.1 0.919 0.011 0.011 0.911 0.033 0.033 4.47 0.004 0.004 1.171 0.004 0.004 0.0 0.31 0.0 0.053 0.002 0.002 0.0126 0.0021 0.0021 0.1319 0.0017 0.0017 18.2 3.2 2.7 5.19 0.89 0.89 1037.0 13.0 13.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-094 TEP 281.19475 47.49714 13.19 10.59 0.048 0.15 2454955.46048 0.00012 2.50805761 1.3e-07 4781 98 98 0.34 0.07 0.07 0.81 0.06 0.06 0.76 0.03 0.03 4.59 0.04 0.04 2.06 0.16 0.16 0.0 -1.0 -1.0 -1.0 -1.0 -1 0.034 0.004 0.004 0.313 0.013 0.013 -1.0 -1.0 -1 1.09 0.2 0.2 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-095 TEP 284.48246 44.39806 12.47 10.8 0.169 0.051 2454964.96868 0.00081 11.5230758 9.1e-07 5699 74 74 0.3 0.1 0.1 1.08 0.08 0.08 1.41 0.04 0.04 4.171 0.04 0.04 0.38 0.01 0.01 0.0 -1.0 -1.0 -1.0 -1.0 -1 0.041 0.009 0.009 0.305 0.008 0.008 -1.0 -1.0 -1 1.29 0.28 0.28 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-099 TEP 297.354 41.30006 13.27 10.76 0.1 0.044 2454968.0116 0.00066 4.60357337 7.4e-07 4782 129 129 0.18 0.07 0.07 0.79 0.06 0.06 0.73 0.04 0.04 4.605 0.05 0.05 2.02 0.16 0.16 0.0 -1.0 -1.0 -1.0 -1.0 -1 0.019 0.004 0.004 0.132 0.007 0.007 -1.0 -1.0 -1 8.22 2.13 2.13 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-105c TEP 287.88733 46.27625 12.88 11.5 0.1168 0.02 2454972.00421 0.00141 7.125939 1.7e-05 5827 94 94 0.011 0.003 0.003 0.961 0.046 0.046 0.894 0.044 0.044 -1.0 -1.0 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1 0.0145 0.0029 0.0028 0.117 0.006 0.006 -1.0 -1.0 -1 8.4 2.3 1.9 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-107c TEP 297.02825 48.20861 12.61 11.06 0.1779 0.01 2455697.01829 0.00079 4.901452 1e-05 5854 61 61 0.321 0.065 0.065 1.238 0.029 0.029 1.447 0.014 0.014 4.21 0.013 0.013 0.407 0.021 0.021 0.0 -1.0 -1.0 0.06064 0.00047 0.00047 0.0295 0.0056 0.0056 0.1425 0.0023 0.0023 -1.0 -1.0 -1 9.5 1.8 1.8 1379.0 17.0 17.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-128b TEP 282.49221 43.98022 11.46 10.1 0.1663 0.01 2455008.95329 0.00653 15.090015 0.000233 6072 75 75 -0.09 0.1 0.1 1.184 0.074 0.074 1.659 0.038 0.038 4.071 0.047 0.047 0.2591 0.0048 0.0048 0.06 0.12 0.12 0.127 0.004 0.004 0.0119 0.0024 0.0021 0.1268 0.0036 0.0036 -1.0 -1.0 -1 -1.0 -1.0 -1.0 970.0 64.0 64.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-128c TEP 282.49221 43.98022 11.46 10.1 0.2152 0.01 2454986.37509 0.00821 22.802603 0.000338 6072 75 75 -0.09 0.1 0.1 1.184 0.074 0.074 1.659 0.038 0.038 4.071 0.047 0.047 0.2591 0.0048 0.0048 0.037 0.026 0.03 0.167 0.005 0.005 0.0106 0.0021 0.0019 0.1357 0.0042 0.0042 -1.0 -1.0 -1 -1.0 -1.0 -1.0 843.0 54.0 54.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
