System Type RA(deg) Dec(deg) Vmag Kmag length depth T0(HJDorBJD) T0err Period(day) Perioderr Teff err err_1 [Fe/H] erru errd M_A errup errdn R_A errup_1 errdn_1 loggA errup_2 errdn_2 rho_A errup_3 errdn_3 e errup_4 errdown a(AU) errup_5 errdown_1 M_b errup_6 errdn_4 R_b errup_7 errdn_5 g_b errup_8 errdn_6 rho_b errup_9 errdn_7 Teq err_2 err_3 Lambda err_4 err_5 Psi err_6 err_7
K2-003b TEP 172.33496 -1.45478 12.17 8.56 0.1068 0.014 2457165.32947 0.00025 10.0546535 9e-06 3844 61 63 -0.16 0.08 0.08 0.549 0.029 0.027 0.546 0.018 0.016 4.704 0.023 0.026 3.39 0.26 0.28 0.107 0.057 0.059 0.0747 0.0013 0.0012 0.0161 0.002 0.002 0.1854 0.0067 0.0067 -1.0 -1.0 -1 2.34 0.37 0.35 501.0 5.0 5.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-018b TEP 172.56046 7.58839 13.5 8.899 0.111 0.27 2457527.91121 7e-05 32.940038 9e-06 3503 60 60 0.12 0.16 0.16 0.495 0.004 0.004 0.469 0.01 0.01 -1.0 -1.0 -1 -1.0 -1.0 -1.0 0.2 0.08 0.08 0.1591 0.0004 0.0004 0.0299 0.0049 0.0059 0.242 0.006 0.006 11.5 1.9 1.9 1.8 0.3 0.3 265.0 5.0 5.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-025b TEP 63.27342 15.24778 15.88 10.44 0.03128 1.2 2458515.64206 0.0001 3.48456408 6e-08 3207 58 58 0.15 0.03 0.03 0.2634 0.0077 0.0077 0.2932 0.0093 0.0093 4.944 0.031 0.031 10.4 1.1 1.1 0.428 0.05 0.049 0.0287 0.0012 0.0012 0.077 0.018 0.016 0.306 0.011 0.011 -1.0 -1.0 -1 11.0 0.9 0.9 494.0 11.0 11.0 3.0 16.0 16.0 17.0 11.0 8.0
K2-146b TEP 130.02675 19.09289 16.25 11.37 0.034 0.4 2458204.5902 0.0005 2.6446 6e-05 3385 70 70 -0.02 0.12 0.12 0.331 0.009 0.009 0.33 0.01 0.01 4.906 0.041 0.041 9.3 0.8 0.8 0.129 0.019 0.019 -1.0 -1.0 -1 0.0182 0.0002 0.0002 0.183 0.005 0.005 -1.0 -1.0 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-146c TEP 130.02675 19.09289 16.25 11.37 0.03 0.15 2458204.1316 0.0007 4.00498 0.00011 3385 70 70 -0.02 0.12 0.12 0.331 0.009 0.009 0.33 0.01 0.01 4.906 0.041 0.041 9.3 0.8 0.8 0.075 0.016 0.016 -1.0 -1.0 -1 0.0236 0.0003 0.0003 0.195 0.006 0.006 -1.0 -1.0 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-054b TTEP 294.77392 43.05631 16.55 12.64 0.1196 0.11 2455003.22823 0.00206 8.01026 3e-05 3854 80 80 -0.16 0.1 0.1 0.518 0.013 0.013 0.522 0.014 0.014 4.73 0.15 0.150 3.61 0.2 0.2 0.022 0.02 0.015 -1.0 -1.0 -1 0.0097 0.0009 0.001 0.1656 0.0051 0.0051 -1.0 -1.0 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-054c TTEP 294.77392 43.05631 16.55 12.64 0.1802 0.07 2454976.43325 0.00623 12.072389 0.0001 3854 80 80 -0.16 0.1 0.1 0.518 0.013 0.013 0.522 0.014 0.014 4.73 0.15 0.150 3.61 0.2 0.2 0.025 0.025 0.025 -1.0 -1.0 -1 0.0066 0.0006 0.0007 0.1506 0.0048 0.0049 -1.0 -1.0 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-138c TEP 290.3815 43.293 13.34 9.51 0.08 0.07 2454955.7288 0.0006 13.7815 8e-05 3841 50 51 -0.18 0.1 0.1 0.535 0.012 0.012 0.535 0.013 0.014 4.71 0.03 0.03 3.5 0.3 0.3 0.017 0.008 0.009 0.0913 0.0007 0.0007 0.0072 0.0017 0.0017 0.135 0.004 0.004 9.6 2.8 2.3 2.7 0.8 0.7 410.0 8.0 8.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
L98-59c TEP 124.53175 -68.313 11.69 7.1 0.056 0.16 2458367.27375 0.00018 3.6906777 2.1e-06 3412 49 49 -0.46 0.26 0.26 0.273 0.03 0.03 0.303 0.026 0.023 4.86 0.13 0.13 9.15 1.8 1.4 0.103 0.045 0.058 0.0304 0.0011 0.0012 0.007 0.0008 0.0008 0.1236 0.0085 0.0067 -1.0 -1.0 -1 3.45 0.58 0.64 553.0 27.0 26.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
L98-59d TEP 124.53175 -68.313 11.69 7.1 0.035 0.17 2458362.73974 0.00036 7.4507245 1.8e-06 3412 49 49 -0.46 0.26 0.26 0.273 0.03 0.03 0.303 0.026 0.023 4.86 0.13 0.13 9.15 1.8 1.4 0.128 0.108 0.076 0.0486 0.0018 0.0019 0.0061 0.0009 0.0009 0.1357 0.0106 0.0087 -1.0 -1.0 -1 2.22 0.6 0.38 416.0 20.0 20.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
